barrier,proportion,information
K1070,0.1861626,K1040
K1070,0.1340942,K1041
K1070,0.1333809,K1042
K1070,0.11911555,K1043
K1070,0.07061341,K1044
K1070,0.06419401,K1045
K1070,0.2175464,K1046
K1070,0.07489301,K1047
K1071,0.1626409,K1040
K1071,0.1803543,K1041
K1071,0.1449275,K1042
K1071,0.10547504,K1043
K1071,0.07568438,K1044
K1071,0.06602254,K1045
K1071,0.1618357,K1046
K1071,0.10305958,K1047
K1072,0.1677282,K1040
K1072,0.1358811,K1041
K1072,0.1358811,K1042
K1072,0.11394197,K1043
K1072,0.10120311,K1044
K1072,0.06157113,K1045
K1072,0.1903751,K1046
K1072,0.09341826,K1047
K1073,0.1697417,K1040
K1073,0.1500615,K1041
K1073,0.1517015,K1042
K1073,0.0902009,K1043
K1073,0.09389094,K1044
K1073,0.06355064,K1045
K1073,0.1763018,K1046
K1073,0.10455105,K1047
K1074,0.1720751,K1040
K1074,0.1310845,K1041
K1074,0.1332195,K1042
K1074,0.10418446,K1043
K1074,0.10461144,K1044
K1074,0.05935098,K1045
K1074,0.1972673,K1046
K1074,0.09820666,K1047
K1075,0.1752809,K1040
K1075,0.1764045,K1041
K1075,0.1719101,K1042
K1075,0.08202247,K1043
K1075,0.1,K1044
K1075,0.04719101,K1045
K1075,0.147191,K1046
K1075,0.1,K1047
K1076,0.16424,K1040
K1076,0.1450204,K1041
K1076,0.1193943,K1042
K1076,0.12929528,K1043
K1076,0.09202097,K1044
K1076,0.06523005,K1045
K1076,0.1921957,K1046
K1076,0.09260338,K1047
K1077,0.1624365,K1040
K1077,0.1281726,K1041
K1077,0.1142132,K1042
K1077,0.12182741,K1043
K1077,0.0748731,K1044
K1077,0.07233503,K1045
K1077,0.2284264,K1046
K1077,0.09771574,K1047
K1078,0.1624549,K1040
K1078,0.1492178,K1041
K1078,0.1323706,K1042
K1078,0.10348977,K1043
K1078,0.08182912,K1044
K1078,0.08303249,K1045
K1078,0.179302,K1046
K1078,0.10830325,K1047
